Grid Anchor,D_est
"(0.0, 0.0)",1.7587
"(0.001, 0.001)",1.7230
"(0.01, 0.01)",1.7227
"(0.1, 0.1)",1.7499
"Difference from (0,0) for (0.001, 0.001)",0.0357
"Difference from (0,0) for (0.01, 0.01)",0.0360
"Difference from (0,0) for (0.1, 0.1)",0.0088
