epsilon,log_epsilon,counts,log_counts,iteration
0.5,-0.6931471805599453,5,1.6094379124341005,1
0.25,-1.3862943611198906,13,2.5649493574615367,1
0.125,-2.0794415416798357,36,3.58351893845611,1
0.0625,-2.772588722239781,112,4.718498871295094,1
0.03125,-3.4657359027997265,388,5.961005339623274,1
0.015625,-4.1588830833596715,1436,7.269616749608169,1
0.0078125,-4.852030263919617,5576,8.62622695244036,1
0.00390625,-5.545177444479562,21723,9.98612688605693,1
0.001953125,-6.238324625039508,85975,11.361811835300466,1
0.0009765625,-6.931471805599453,342574,12.744242971741324,1
0.5,-0.6931471805599453,5,1.6094379124341005,2
0.25,-1.3862943611198906,13,2.5649493574615367,2
0.125,-2.0794415416798357,36,3.58351893845611,2
0.0625,-2.772588722239781,107,4.672828834461906,2
0.03125,-3.4657359027997265,331,5.802118375377063,2
0.015625,-4.1588830833596715,1165,7.060476365999801,2
0.0078125,-4.852030263919617,4345,8.376781037699493,2
0.00390625,-5.545177444479562,16700,9.723163998404846,2
0.001953125,-6.238324625039508,65182,11.084938636179777,2
0.0009765625,-6.931471805599453,258230,12.461605939646034,2
0.5,-0.6931471805599453,5,1.6094379124341005,3
0.25,-1.3862943611198906,13,2.5649493574615367,3
0.125,-2.0794415416798357,36,3.58351893845611,3
0.0625,-2.772588722239781,109,4.6913478822291435,3
0.03125,-3.4657359027997265,318,5.762051382780177,3
0.015625,-4.1588830833596715,1007,6.914730892718563,3
0.0078125,-4.852030263919617,3534,8.170185652879642,3
0.00390625,-5.545177444479562,13056,9.477003077203888,3
0.001953125,-6.238324625039508,50060,10.820977564985766,3
0.0009765625,-6.931471805599453,195876,12.185237084942036,3
0.5,-0.6931471805599453,5,1.6094379124341005,4
0.25,-1.3862943611198906,13,2.5649493574615367,4
0.125,-2.0794415416798357,36,3.58351893845611,4
0.0625,-2.772588722239781,111,4.709530201312334,4
0.03125,-3.4657359027997265,328,5.793013608384144,4
0.015625,-4.1588830833596715,964,6.871091294610546,4
0.0078125,-4.852030263919617,3060,8.026170194946426,4
0.00390625,-5.545177444479562,10603,9.268892258925796,4
0.001953125,-6.238324625039508,39172,10.575717484840686,4
0.0009765625,-6.931471805599453,150357,11.920767745364143,4
0.5,-0.6931471805599453,5,1.6094379124341005,5
0.25,-1.3862943611198906,13,2.5649493574615367,5
0.125,-2.0794415416798357,36,3.58351893845611,5
0.0625,-2.772588722239781,111,4.709530201312334,5
0.03125,-3.4657359027997265,342,5.834810737062605,5
0.015625,-4.1588830833596715,993,6.900730664045173,5
0.0078125,-4.852030263919617,2903,7.97349996402463,5
0.00390625,-5.545177444479562,9188,9.125653563808989,5
0.001953125,-6.238324625039508,31883,10.369828231362574,5
0.0009765625,-6.931471805599453,117718,11.676047212736556,5
0.5,-0.6931471805599453,5,1.6094379124341005,6
0.25,-1.3862943611198906,13,2.5649493574615367,6
0.125,-2.0794415416798357,37,3.610917912644224,6
0.0625,-2.772588722239781,112,4.718498871295094,6
0.03125,-3.4657359027997265,342,5.834810737062605,6
0.015625,-4.1588830833596715,1032,6.939253946041508,6
0.0078125,-4.852030263919617,2985,8.001355025826703,6
0.00390625,-5.545177444479562,8719,9.073259831427816,6
0.001953125,-6.238324625039508,27709,10.22951254915098,6
0.0009765625,-6.931471805599453,95769,11.46969432077795,6
