Grid Anchor,D_est
"(0.0, 0.0)",1.6210
"(0.001, 0.001)",1.5973
"(0.01, 0.01)",1.5957
"(0.1, 0.1)",1.6233
"Difference from (0,0) for (0.001, 0.001)",0.0237
"Difference from (0,0) for (0.01, 0.01)",0.0253
"Difference from (0,0) for (0.1, 0.1)",0.0023
