eps_i,N_i,N_i*,ΔN_i
0.5,3.0,3.0,0.0
0.25,7.0,7.0,0.0
0.125,13.0,13.0,0.0
0.0625,25.0,25.0,0.0
0.03125,50.0,51.0,1.0
