epsilon,log_epsilon,N_base,N_dense,delta_percent
0.5,0.6931471805599453,5.0,5.0,0.0
0.25,1.3862943611198906,13.0,13.0,0.0
0.125,2.0794415416798357,36.0,36.0,0.0
0.0625,2.772588722239781,111.0,114.0,2.631578947368421
0.03125,3.4657359027997265,328.0,338.0,2.9585798816568047
0.015625,4.1588830833596715,964.0,1021.0,5.582761998041136
0.0078125,4.852030263919617,3060.0,3192.0,4.135338345864661
0.00390625,5.545177444479562,10603.0,10878.0,2.5280382423239565
0.001953125,6.238324625039508,39172.0,39905.0,1.8368625485528127
0.0009765625,6.931471805599453,150357.0,151420.0,0.7020208691057984
