epsilon,log_epsilon,counts,log_counts
0.5,-0.6931471805599453,3,1.0986122886681098
0.25,-1.3862943611198906,6,1.791759469228055
0.125,-2.0794415416798357,13,2.5649493574615367
0.0625,-2.772588722239781,25,3.2188758248682006
0.03125,-3.4657359027997265,49,3.8918202981106265
0.015625,-4.1588830833596715,95,4.553876891600541
0.0078125,-4.852030263919617,191,5.25227342804663
0.00390625,-5.545177444479562,385,5.953243334287785
0.001953125,-6.238324625039508,769,6.645090969505644
0.0009765625,-6.931471805599453,1541,7.340186835320115
