window,mean_D_est,std_D_est,MAE,MRE,mean_std_err
coarse,1.1573337229085088,0.07911070632785058,0.10452578423440591,0.082834724185002,0.030789576033701967
fine,1.0796079752128165,0.09713763525778009,0.18225153193009833,0.14443092190409512,0.016010733601085916
full,1.126339150117532,0.09551255393655872,0.13552035702538298,0.10739734198478745,0.012486255010480401
slide_1_to_5,1.1573337229085088,0.07911070632785058,0.10452578423440591,0.082834724185002,0.030789576033701967
slide_2_to_6,1.1561315873196751,0.0964295593434063,0.10572791982323947,0.08378739409954376,0.03212734409239228
slide_3_to_7,1.1613819440539592,0.13394801989190397,0.11836713153627158,0.09380373240145952,0.026815502758931586
slide_4_to_8,1.1426939215757002,0.127792691516416,0.13323985982679434,0.10559009071340612,0.030599366700038964
slide_5_to_9,1.094061187915006,0.1171931271003897,0.17118735280225153,0.1356627673946457,0.014696258157233766
slide_6_to_10,1.0796079752128165,0.09713763525778009,0.18225153193009833,0.14443092190409512,0.016010733601085916
