epsilon,log_epsilon,N_base,N_dense,delta_percent
0.5,0.6931471805599453,3.0,3.0,0.0
0.25,1.3862943611198906,7.0,7.0,0.0
0.125,2.0794415416798357,13.0,13.0,0.0
0.0625,2.772588722239781,25.0,25.0,0.0
0.03125,3.4657359027997265,50.0,51.0,1.9607843137254901
0.015625,4.1588830833596715,100.0,100.0,0.0
0.0078125,4.852030263919617,198.0,199.0,0.5025125628140703
0.00390625,5.545177444479562,397.0,400.0,0.75
0.001953125,6.238324625039508,794.0,801.0,0.8739076154806492
0.0009765625,6.931471805599453,1591.0,1603.0,0.7485963817841547
