window,slope,intercept,r2,rmse,max_residual,d_est,abs_error,rel_error,std_err,iteration
slide_1_to_5,-1.5128462546075188,0.4665394390271369,0.9978510420492784,0.06882026720298093,0.09427335740508869,1.5128462546075188,0.07211624611363754,0.0455002853889759,0.040533608478628885,2
slide_2_to_6,-1.6363481688338302,0.16258774940542153,0.9987376329066102,0.05702736419141925,0.07693664987435778,1.6363481688338302,0.051385668112673866,0.032420746919434015,0.033587850594731246,2
slide_3_to_7,-1.7367535116411679,-0.14272430226451416,0.9981257281893184,0.07377382582962756,0.09875237412112803,1.7367535116411679,0.15179101092001157,0.0957694651141253,0.043451144461976614,2
slide_4_to_8,-1.8409606156427867,-0.5471760859241837,0.9989670229308002,0.058030287329821496,0.07767843313502443,1.8409606156427867,0.2559981149216304,0.16151682756226188,0.03417855004241567,2
slide_5_to_9,-1.9165720197400875,-0.9004742919010322,0.9997963757626314,0.026811712802811458,0.03579415600908131,1.9165720197400875,0.3316095190189312,0.20922231211656378,0.015791503194622355,2
slide_6_to_10,-1.9541062357356678,-1.1004885218486251,0.9999427395727006,0.014495338315521255,0.01849427208928134,1.9541062357356678,0.3691437350145115,0.2329037657651531,0.008537432240916767,2
full,-1.7031712736247053,0.058301079114340126,0.9962036317211308,0.20932488749698264,0.3705884669961046,1.7031712736247053,0.11820877290354903,0.07458143195802056,0.0371726427283016,3
coarse,-1.4953536863574508,0.49078928775371145,0.9984286704134185,0.05815131054137071,0.0821484330418012,1.4953536863574508,0.08960881436370549,0.05653686716432318,0.03424983002537736,3
fine,-1.9122284410049808,-1.1013016946337189,0.9997849001778009,0.02749457248529789,0.03509882234937667,1.9122284410049808,0.3272659402838245,0.20648181905560467,0.01619369237725579,3
slide_1_to_5,-1.4953536863574508,0.49078928775371145,0.9984286704134185,0.05815131054137071,0.0821484330418012,1.4953536863574508,0.08960881436370549,0.05653686716432318,0.03424983002537736,3
slide_2_to_6,-1.5819049594263699,0.26973675852802526,0.9996993261856953,0.02689267171141321,0.037837108761388016,1.5819049594263699,0.0030575412947864145,0.0019290937756541472,0.015839186193216843,3
slide_3_to_7,-1.6522328003703994,0.06365459677733032,0.9987385955412592,0.05755896323917746,0.07531112315083632,1.6522328003703994,0.06727029964924314,0.04244283358037507,0.03390095062390878,3
slide_4_to_8,-1.7468297074712218,-0.2921792720037333,0.9984432628897529,0.06761405332895476,0.08614960537794403,1.7468297074712218,0.1618672067500655,0.10212683686611897,0.0398231753039463,3
slide_5_to_9,-1.8441436527039665,-0.738730549419806,0.9992709653756292,0.048827855435290245,0.06444338372966119,1.8441436527039665,0.2591811519828102,0.1635251003508809,0.02875852209680347,3
slide_6_to_10,-1.9122284410049808,-1.1013016946337189,0.9997849001778009,0.02749457248529789,0.03509882234937667,1.9122284410049808,0.3272659402838245,0.20648181905560467,0.01619369237725579,3
full,-1.6529157174095,0.15454185115247476,0.9970640908063212,0.17857181648031686,0.3091821920560114,1.6529157174095,0.06795321668834364,0.0428737062595645,0.031711405245408775,4
coarse,-1.4953536863574508,0.49078928775371145,0.9984286704134185,0.05815131054137071,0.0821484330418012,1.4953536863574508,0.08960881436370549,0.05653686716432318,0.03424983002537736,4
fine,-1.8415187888117557,-0.8999020501870412,0.9993221611329778,0.047013987513869135,0.059071283162988486,1.8415187888117557,0.2565562880905994,0.1618689956222097,0.02769019418779221,4
slide_1_to_5,-1.4953536863574508,0.49078928775371145,0.9984286704134185,0.05815131054137071,0.0821484330418012,1.4953536863574508,0.08960881436370549,0.05653686716432318,0.03424983002537736,4
slide_2_to_6,-1.5620820205172445,0.31095740117384185,0.9999739749073329,0.007811709531524929,0.010356680330843915,1.5620820205172445,0.022880480203911757,0.014435975736650654,0.004600923369957972,4
slide_3_to_7,-1.5978014226289257,0.20770031373167885,0.999645927657246,0.029477195656450725,0.041073853765658086,1.5978014226289257,0.012838921907769363,0.00810045783539211,0.017361413379328734,4
slide_4_to_8,-1.6625017292053363,-0.029090408786341726,0.9990073732920477,0.051370192825980335,0.0672293374077837,1.6625017292053363,0.07753922848418004,0.04892180631964464,0.030255902339620017,4
slide_5_to_9,-1.7511900446943052,-0.4251276697236417,0.9988101578295607,0.059248442993029546,0.07299316060735261,1.7511900446943052,0.16622754397314887,0.10487790335576741,0.03489601666562379,4
