Grid Anchor,D_est,Diff
"(0.0, 0.0)",1.2464,
"(0.001, 0.001)",1.1556,0.0908
"(0.01, 0.01)",1.1586,0.0878
"(0.1, 0.1)",1.1999,0.0465
