epsilon,log_epsilon,counts,log_counts
0.5,-0.6931471805599453,5,1.6094379124341003
0.25,-1.3862943611198906,13,2.5649493574615367
0.125,-2.0794415416798357,36,3.58351893845611
0.0625,-2.772588722239781,109,4.6913478822291435
0.03125,-3.4657359027997265,318,5.762051382780177
0.015625,-4.1588830833596715,1007,6.914730892718563
0.0078125,-4.852030263919617,3534,8.170185652879642
0.00390625,-5.545177444479562,13056,9.477003077203888
0.001953125,-6.238324625039508,50060,10.820977564985766
0.0009765625,-6.931471805599453,195876,12.185237084942035
