Grid Anchor,D_est
"(0.0, 0.0)",1.8151
"(0.001, 0.001)",1.7787
"(0.01, 0.01)",1.7784
"(0.1, 0.1)",1.8043
"Difference from (0,0) for (0.001, 0.001)",0.0364
"Difference from (0,0) for (0.01, 0.01)",0.0367
"Difference from (0,0) for (0.1, 0.1)",0.0108
