epsilon,log_epsilon,N_base,N_dense,delta_percent
0.5,0.6931471805599453,3.0,3.0,0.0
0.25,1.3862943611198906,7.0,7.0,0.0
0.125,2.0794415416798357,15.0,15.0,0.0
0.0625,2.772588722239781,33.0,33.0,0.0
0.03125,3.4657359027997265,89.0,89.0,0.0
0.015625,4.1588830833596715,174.0,174.0,0.0
0.0078125,4.852030263919617,360.0,361.0,0.2770083102493075
0.00390625,5.545177444479562,736.0,736.0,0.0
0.001953125,6.238324625039508,1490.0,1493.0,0.20093770931011384
0.0009765625,6.931471805599453,2989.0,2991.0,0.06686726847208291
