log_epsilon,residual,iteration
-0.6931471805599453,-0.027423561706133803,1
-1.3862943611198906,-0.024283718776295427,1
-2.0794415416798357,0.058898831827079334,1
-2.772588722239781,0.022817961603636583,1
-3.4657359027997265,0.0057550972159554625,1
-4.1588830833596715,-0.0221956469242377,1
-4.852030263919617,-0.013806448108255154,1
-5.545177444479562,-0.0028438794972069914,1
-6.238324625039508,-0.0010035819094538212,1
-6.931471805599453,0.004084946274910628,1
-0.6931471805599453,-0.06306169919833615,2
-1.3862943611198906,-0.0986800535633976,2
-2.0794415416798357,0.08884514338575089,2
-2.772588722239781,-0.015766082466261988,2
-3.4657359027997265,0.1279564918244933,2
-4.1588830833596715,0.038685423967112165,2
-4.852030263919617,0.030253209906208056,2
-5.545177444479562,-0.011128849175603861,2
-6.238324625039508,-0.03334987396884337,2
-6.931471805599453,-0.06375371071112745,2
-0.6931471805599453,-0.11832977101371944,3
-1.3862943611198906,-0.03282108705841691,3
-2.0794415416798357,-0.03247021144342099,3
-2.772588722239781,-0.005802027511051744,3
-3.4657359027997265,0.20180935324515126,3
-4.1588830833596715,0.11577561466132646,3
-4.852030263919617,0.06739480392919273,3
-5.545177444479562,-0.011326470937465416,3
-6.238324625039508,-0.062040414022647816,3
-6.931471805599453,-0.12218978984895035,3
-0.6931471805599453,-0.05993095773122126,4
-1.3862943611198906,-0.014782921134463223,4
-2.0794415416798357,-0.054792692878011806,4
-2.772588722239781,-0.06848515630418728,4
-3.4657359027997265,0.12149382817102605,4
-4.1588830833596715,0.10882229387895848,4
-4.852030263919617,0.12663209302423617,4
-5.545177444479562,0.03655043718268658,4
-6.238324625039508,-0.04365369318117285,4
-6.931471805599453,-0.1518532310278573,4
-0.6931471805599453,0.004146335291701275,5
-1.3862943611198906,0.01381192381593177,5
-2.0794415416798357,-0.06168029600014435,5
-2.772588722239781,-0.11085520749884736,5
-3.4657359027997265,0.06586446568854853,5
-4.1588830833596715,0.020677595367802226,5
-4.852030263919617,0.13932187951067654,5
-5.545177444479562,0.060509942651981063,5
-6.238324625039508,-0.001937324908609206,5
-6.931471805599453,-0.1298593139190416,5
-0.6931471805599453,0.06393626023924681,6
-1.3862943611198906,0.04726542771737008,6
-2.0794415416798357,-0.05456321314481327,6
-2.772588722239781,-0.1300745456896233,6
-3.4657359027997265,0.020308706451666048,6
-4.1588830833596715,-0.051214584915188155,6
-4.852030263919617,0.06377856101266222,6
-5.545177444479562,0.02496859531828033,6
-6.238324625039508,0.07088193598707626,6
-6.931471805599453,-0.05528714297668813,6
