window,slope,intercept,r2,rmse,max_residual,d_est,abs_error,rel_error,std_err,iteration
full,-1.6965307064137447,0.11024385724676922,0.9965494616889484,0.19875046678314226,0.32324857930327155,1.6965307064137447,0.1115682056925884,0.07039170052403447,0.03529480026076304,3
coarse,-1.504965432742982,0.5127734550342855,0.9992071744720109,0.041555453346098496,0.058742156216103236,1.504965432742982,0.0799970679781743,0.05047253038590863,0.02447523882920478,3
fine,-1.903175063901483,-1.0398165826964743,0.9997281094261498,0.030766303622726508,0.039464897483196815,1.903175063901483,0.31821256318032676,0.20076977407070537,0.01812066933277409,3
slide_1_to_5,-1.504965432742982,0.5127734550342855,0.9992071744720109,0.041555453346098496,0.058742156216103236,1.504965432742982,0.0799970679781743,0.05047253038590863,0.02447523882920478,3
slide_2_to_6,-1.5693774453573432,0.3520814847938585,0.9996045922187472,0.030596824124213724,0.03724876970005431,1.5693774453573432,0.01558505536381305,0.009833075140088087,0.01802084967328457,3
slide_3_to_7,-1.6441986289448474,0.1260087301444841,0.9990570097570219,0.04951687224961842,0.06647541519961742,1.6441986289448474,0.059236128223691065,0.037373835782700655,0.029164337693313988,3
slide_4_to_8,-1.7282685403656401,-0.18460301846709015,0.9983453652583915,0.06897033727841904,0.08833288484371948,1.7282685403656401,0.14330603964448385,0.0904160442781957,0.040621996419122376,3
slide_5_to_9,-1.8293552804547388,-0.6470974701139429,0.9991361534433141,0.05272838666691528,0.06908657844586852,1.8293552804547388,0.24439277973358253,0.1541946762919527,0.031055848338434753,3
slide_6_to_10,-1.903175063901483,-1.0398165826964743,0.9997281094261498,0.030766303622726508,0.039464897483196815,1.903175063901483,0.31821256318032676,0.20076977407070537,0.01812066933277409,3
