log_epsilon,residual,window
-0.6931471805599453,-0.04333129507299627,full
-1.3862943611198906,0.11991795071450806,full
-2.0794415416798357,-0.04671523044014503,full
-2.772588722239781,-0.017445305616119455,full
-3.4657359027997265,0.030949164294089115,full
-4.1588830833596715,-0.013072969411909163,full
-4.852030263919617,-0.027580159563679985,full
-5.545177444479562,-0.06572103372978866,full
-6.238324625039508,-0.0259549009535327,full
-6.931471805599453,0.08895377977957608,full
-0.6931471805599453,-0.0497668193681553,coarse
-1.3862943611198906,0.11236266017899466,coarse
-2.0794415416798357,-0.0553902872160128,coarse
-2.772588722239781,-0.027240128632341154,coarse
-3.4657359027997265,0.020034575037511715,coarse
-4.1588830833596715,0.03673783876258163,fine
-4.852030263919617,0.0016627729114979672,fine
-5.545177444479562,-0.05704597695392266,fine
-6.238324625039508,-0.03784771987697866,fine
-6.931471805599453,0.05649308515681817,fine
