window,slope,intercept,r2,rmse,max_residual,d_est,abs_error,rel_error,std_err,iteration
full,-0.9954701641759518,0.4360285127441368,0.9998453958147687,0.024644776334194887,0.058898831827079334,0.9954701641759518,0.26638934296696304,0.21110855959719174,0.0043765052342519505,1
coarse,-1.0118388375841674,0.409143735309752,0.9992237142901841,0.027645931869695287,0.05174590979423099,1.0118388375841674,0.25002066955874747,0.1981366928279051,0.01628283969209058,1
fine,-1.004900203629375,0.3765843486336129,0.9999946454541411,0.00227942799106313,0.004309042535641794,1.004900203629375,0.2569593035135398,0.2036354301401933,0.0013425324472001,1
slide_1_to_5,-1.0118388375841674,0.409143735309752,0.9992237142901841,0.027645931869695287,0.05174590979423099,1.0118388375841674,0.25002066955874747,0.1981366928279051,0.01628283969209058,1
slide_2_to_6,-0.9884056341193701,0.46381405409616727,0.9990359610622492,0.030097636884249684,0.045803567747150886,0.9884056341193701,0.27345387302354474,0.2167070672096415,0.01772683947883926,1
slide_3_to_7,-0.9679977638345538,0.5415345560662428,0.9998778113070967,0.010489549989540372,0.013984426448617526,0.9679977638345538,0.293861743308361,0.23287992177014918,0.006178111909082538,1
slide_4_to_8,-0.9852435875535621,0.4765050661176531,0.9998453093786384,0.01201294976663813,0.020141063782214808,0.9852435875535621,0.2766159195893527,0.21921292982581136,0.007075360534103182,1
slide_5_to_9,-0.9963118914944555,0.4251255344761491,0.9998973529108878,0.00989535507166903,0.014793314161975601,0.9963118914944555,0.2655476156484593,0.21044150647936125,0.005828144303030733,1
slide_6_to_10,-1.004900203629375,0.3765843486336129,0.9999946454541411,0.00227942799106313,0.004309042535641794,1.004900203629375,0.2569593035135398,0.2036354301401933,0.0013425324472001,1
