Grid Anchor,D_est
"(0.0, 0.0)",1.1025
"(0.001, 0.001)",1.0130
"(0.01, 0.01)",1.0139
"(0.1, 0.1)",1.0544
"Difference from (0,0) for (0.001, 0.001)",0.0895
"Difference from (0,0) for (0.01, 0.01)",0.0886
"Difference from (0,0) for (0.1, 0.1)",0.0481
