Grid Anchor,D_est,Diff
"(0.0, 0.0)",1.2084,
"(0.001, 0.001)",1.1217,0.0867
"(0.01, 0.01)",1.1217,0.0867
"(0.1, 0.1)",1.1620,0.0464
