Grid Anchor,D_est,Diff
"(0.0, 0.0)",1.1573,
"(0.001, 0.001)",1.0687,0.0886
"(0.01, 0.01)",1.0686,0.0887
"(0.1, 0.1)",1.1096,0.0477
