epsilon,log_epsilon,N_base,N_dense,delta_percent
0.5,0.6931471805599453,5.0,5.0,0.0
0.25,1.3862943611198906,12.0,13.0,7.6923076923076925
0.125,2.0794415416798357,35.0,36.0,2.7777777777777777
0.0625,2.772588722239781,103.0,106.0,2.8301886792452833
0.03125,3.4657359027997265,323.0,338.0,4.437869822485207
0.015625,4.1588830833596715,1147.0,1197.0,4.177109440267335
0.0078125,4.852030263919617,4313.0,4412.0,2.243880326382593
0.00390625,5.545177444479562,16633.0,16715.0,0.49057732575530955
0.001953125,6.238324625039508,65047.0,65466.0,0.6400268841841567
0.0009765625,6.931471805599453,257966.0,258804.0,0.3237971592401972
