eps,ln eps,N(eps),ln N
0.5,-0.6931471805599453,3,1.0986122886681098
0.25,-1.3862943611198906,7,1.9459101490553132
0.125,-2.0794415416798357,15,2.70805020110221
0.0625,-2.772588722239781,33,3.49650756146648
0.03125,-3.4657359027997265,89,4.48863636973214
0.015625,-4.1588830833596715,197,5.2832037287379885
0.0078125,-4.852030263919617,461,6.133398042996649
0.00390625,-5.545177444479562,945,6.851184927493743
0.001953125,-6.238324625039508,1965,7.583247524303362
0.0009765625,-6.931471805599453,3963,8.284756593190435
