Grid Anchor,D_est,Diff
"(0.0, 0.0)",0.9955,
"(0.001, 0.001)",0.9300,0.0655
"(0.01, 0.01)",0.9316,0.0639
"(0.1, 0.1)",0.9746,0.0209
