epsilon,log_epsilon,N_base,N_dense,delta_percent,points_sampled,duration
0.5,0.6931471805599453,3.0,3.0,0.0,2049,0.01563119888305664
0.25,1.3862943611198906,7.0,7.0,0.0,4097,0.03868675231933594
0.125,2.0794415416798357,15.0,15.0,0.0,8193,0.06508994102478027
0.0625,2.772588722239781,33.0,33.0,0.0,16385,0.1210181713104248
0.03125,3.4657359027997265,89.0,89.0,0.0,32769,0.23171520233154297
0.015625,4.1588830833596715,197.0,197.0,0.0,65537,0.4368469715118408
0.0078125,4.852030263919617,461.0,461.0,0.0,131073,0.8778021335601807
0.00390625,5.545177444479562,945.0,945.0,0.0,262145,1.7999050617218018
0.001953125,6.238324625039508,1965.0,1966.0,0.050864699898270596,524289,3.6322758197784424
0.0009765625,6.931471805599453,3963.0,3965.0,0.05044136191677175,1048577,7.401432037353516
