epsilon,log_epsilon,N_base,N_dense,delta_percent
0.5,0.6931471805599453,3.0,3.0,0.0
0.25,1.3862943611198906,7.0,7.0,0.0
0.125,2.0794415416798357,15.0,15.0,0.0
0.0625,2.772588722239781,33.0,33.0,0.0
0.03125,3.4657359027997265,91.0,91.0,0.0
0.015625,4.1588830833596715,201.0,201.0,0.0
0.0078125,4.852030263919617,535.0,535.0,0.0
0.00390625,5.545177444479562,1221.0,1229.0,0.6509357200976403
0.001953125,6.238324625039508,3033.0,3065.0,1.0440456769983686
0.0009765625,6.931471805599453,6343.0,6498.0,2.385349338257926
