eps,ln eps,N(eps),ln N
0.5,-0.6931471805599453,3,1.0986122886681098
0.25,-1.3862943611198906,7,1.9459101490553132
0.125,-2.0794415416798357,15,2.70805020110221
0.0625,-2.772588722239781,33,3.49650756146648
0.03125,-3.4657359027997265,91,4.51085950651685
0.015625,-4.1588830833596715,201,5.303304908059076
0.0078125,-4.852030263919617,529,6.270988431858299
0.00390625,-5.545177444479562,1147,7.044905117129371
0.001953125,-6.238324625039508,2531,7.836369760545124
0.0009765625,-6.931471805599453,5197,8.555836815008442
