Grid Anchor,D_est
"(0.0, 0.0)",1.1658
"(0.001, 0.001)",1.0770
"(0.01, 0.01)",1.0759
"(0.1, 0.1)",1.1174
"Difference from (0,0) for (0.001, 0.001)",0.0888
"Difference from (0,0) for (0.01, 0.01)",0.0899
"Difference from (0,0) for (0.1, 0.1)",0.0484
