Grid Anchor,D_est
"(0.0, 0.0)",1.2513
"(0.001, 0.001)",1.1607
"(0.01, 0.01)",1.1639
"(0.1, 0.1)",1.2048
"Difference from (0,0) for (0.001, 0.001)",0.0906
"Difference from (0,0) for (0.01, 0.01)",0.0874
"Difference from (0,0) for (0.1, 0.1)",0.0465
