epsilon,log_epsilon,N_base,N_dense,delta_percent,iteration
0.5,0.6931471805599453,5.0,5.0,0.0,1
0.25,1.3862943611198906,13.0,13.0,0.0,1
0.125,2.0794415416798357,36.0,37.0,2.702702702702702,1
0.0625,2.772588722239781,112.0,114.0,1.7543859649122806,1
0.03125,3.4657359027997265,388.0,392.0,1.020408163265306,1
0.015625,4.1588830833596715,1436.0,1475.0,2.6440677966101696,1
0.0078125,4.852030263919617,5576.0,5593.0,0.303951367781155,1
0.00390625,5.545177444479562,21723.0,21756.0,0.1516822945394374,1
0.001953125,6.238324625039508,85975.0,86295.0,0.3708210209166232,1
0.0009765625,6.931471805599453,342574.0,342706.0,0.0385169795684931,1
0.5,0.6931471805599453,5.0,5.0,0.0,2
0.25,1.3862943611198906,13.0,13.0,0.0,2
0.125,2.0794415416798357,36.0,37.0,2.702702702702702,2
0.0625,2.772588722239781,107.0,109.0,1.834862385321101,2
0.03125,3.4657359027997265,331.0,344.0,3.77906976744186,2
0.015625,4.1588830833596715,1165.0,1206.0,3.399668325041459,2
0.0078125,4.852030263919617,4345.0,4430.0,1.9187358916478552,2
0.00390625,5.545177444479562,16700.0,16749.0,0.2925547793898143,2
0.001953125,6.238324625039508,65182.0,65533.0,0.5356080142828803,2
0.0009765625,6.931471805599453,258230.0,258936.0,0.2726542466092007,2
0.5,0.6931471805599453,5.0,5.0,0.0,3
0.25,1.3862943611198906,13.0,13.0,0.0,3
0.125,2.0794415416798357,36.0,37.0,2.702702702702702,3
0.0625,2.772588722239781,109.0,111.0,1.8018018018018016,3
0.03125,3.4657359027997265,318.0,330.0,3.636363636363636,3
0.015625,4.1588830833596715,1007.0,1067.0,5.623242736644799,3
0.0078125,4.852030263919617,3534.0,3625.0,2.510344827586207,3
0.00390625,5.545177444479562,13056.0,13248.0,1.4492753623188406,3
0.001953125,6.238324625039508,50060.0,50458.0,0.7887748226247573,3
0.0009765625,6.931471805599453,195876.0,196676.0,0.4067603571355936,3
0.5,0.6931471805599453,5.0,5.0,0.0,4
0.25,1.3862943611198906,13.0,13.0,0.0,4
0.125,2.0794415416798357,36.0,36.0,0.0,4
0.0625,2.772588722239781,111.0,114.0,2.631578947368421,4
0.03125,3.4657359027997265,328.0,338.0,2.9585798816568047,4
0.015625,4.1588830833596715,964.0,1021.0,5.582761998041136,4
0.0078125,4.852030263919617,3060.0,3192.0,4.135338345864661,4
0.00390625,5.545177444479562,10603.0,10878.0,2.5280382423239565,4
0.001953125,6.238324625039508,39172.0,39905.0,1.8368625485528127,4
0.0009765625,6.931471805599453,150357.0,151420.0,0.7020208691057984,4
0.5,0.6931471805599453,5.0,5.0,0.0,5
0.25,1.3862943611198906,13.0,13.0,0.0,5
0.125,2.0794415416798357,36.0,36.0,0.0,5
0.0625,2.772588722239781,111.0,112.0,0.8928571428571428,5
0.03125,3.4657359027997265,342.0,351.0,2.564102564102564,5
0.015625,4.1588830833596715,993.0,1038.0,4.335260115606936,5
0.0078125,4.852030263919617,2903.0,3049.0,4.788455231223352,5
0.00390625,5.545177444479562,9188.0,9612.0,4.411152725759467,5
0.001953125,6.238324625039508,31883.0,32829.0,2.8815985866154925,5
0.0009765625,6.931471805599453,117718.0,119699.0,1.6549845863373962,5
0.5,0.6931471805599453,5.0,5.0,0.0,6
0.25,1.3862943611198906,13.0,13.0,0.0,6
0.125,2.0794415416798357,37.0,37.0,0.0,6
0.0625,2.772588722239781,112.0,112.0,0.0,6
0.03125,3.4657359027997265,342.0,347.0,1.440922190201729,6
0.015625,4.1588830833596715,1032.0,1065.0,3.0985915492957745,6
0.0078125,4.852030263919617,2985.0,3097.0,3.6164029706167256,6
0.00390625,5.545177444479562,8719.0,9194.0,5.166412877963889,6
0.001953125,6.238324625039508,27709.0,29010.0,4.484660461909686,6
0.0009765625,6.931471805599453,95769.0,98556.0,2.827833921831243,6
