Grid Anchor,D_est
"(0.0, 0.0)",1.6529
"(0.001, 0.001)",1.6193
"(0.01, 0.01)",1.6184
"(0.1, 0.1)",1.6464
"Difference from (0,0) for (0.001, 0.001)",0.0336
"Difference from (0,0) for (0.01, 0.01)",0.0345
"Difference from (0,0) for (0.1, 0.1)",0.0065
