fractal,slope,intercept,r2,p_value_regression,std_err,p_param,scaling_factor_a
koch,-0.4709611664853761,-0.35629891456214113,0.6438463336720958,0.05471072793910069,0.17513893280180945,0.4286873279529219,3.0
sierpinski,-0.29688070057436594,-0.4104940618570301,0.8679149002928456,0.0068539684283926575,0.057908232914246224,0.42830831445427897,2.0
