epsilon,log_epsilon,N_base,N_dense,delta_percent
0.5,0.6931471805599453,5.0,5.0,0.0
0.25,1.3862943611198906,11.0,13.0,15.384615384615385
0.125,2.0794415416798357,32.0,36.0,11.11111111111111
0.0625,2.772588722239781,103.0,106.0,2.8301886792452833
0.03125,3.4657359027997265,304.0,320.0,5.0
0.015625,4.1588830833596715,914.0,995.0,8.140703517587939
0.0078125,4.852030263919617,2781.0,2985.0,6.834170854271357
0.00390625,5.545177444479562,8962.0,9483.0,5.494041969840768
0.001953125,6.238324625039508,31414.0,32600.0,3.6380368098159512
0.0009765625,6.931471805599453,116816.0,119503.0,2.248479117679054
