eps_i,N_i,N_i*,ΔN_i
0.5,3.0,3.0,0.0
0.25,7.0,7.0,0.0
0.125,15.0,15.0,0.0
0.0625,33.0,33.0,0.0
0.03125,91.0,91.0,0.0
