Grid Anchor,D_est
"(0.0, 0.0)",1.7032
"(0.001, 0.001)",1.6687
"(0.01, 0.01)",1.6680
"(0.1, 0.1)",1.6963
"Difference from (0,0) for (0.001, 0.001)",0.0345
"Difference from (0,0) for (0.01, 0.01)",0.0352
"Difference from (0,0) for (0.1, 0.1)",0.0069
