Grid Anchor,D_est,Diff
"(0.0, 0.0)",1.0514,
"(0.001, 0.001)",0.9640,0.0874
"(0.01, 0.01)",0.9654,0.0860
"(0.1, 0.1)",0.9956,0.0558
