Grid Anchor,D_est
"(0.0, 0.0)",1.2162
"(0.001, 0.001)",1.1288
"(0.01, 0.01)",1.1301
"(0.1, 0.1)",1.1699
"Difference from (0,0) for (0.001, 0.001)",0.0874
"Difference from (0,0) for (0.01, 0.01)",0.0861
"Difference from (0,0) for (0.1, 0.1)",0.0463
