epsilon,log_epsilon,counts,log_counts
0.5,-0.6931471805599453,3,1.0986122886681098
0.25,-1.3862943611198906,6,1.791759469228055
0.125,-2.0794415416798357,15,2.70805020110221
0.0625,-2.772588722239781,28,3.332204510175204
0.03125,-3.4657359027997265,67,4.204692619390966
0.015625,-4.1588830833596715,127,4.844187086458591
0.0078125,-4.852030263919617,261,5.564520407322694
0.00390625,-5.545177444479562,519,6.251903883165888
0.001953125,-6.238324625039508,1052,6.9584483932976555
0.0009765625,-6.931471805599453,2115,7.656810091480378
