log_epsilon,residual,window
-0.6931471805599453,0.07176007310755916,full
-1.3862943611198906,0.051654876402799976,full
-2.0794415416798357,-0.05360812864226583,full
-2.772588722239781,-0.1325538253699583,full
-3.4657359027997265,0.014395062588448582,full
-4.1588830833596715,-0.060562592961288075,full
-4.852030263919617,0.05472753639653849,full
-5.545177444479562,0.023386266424853197,full
-6.238324625039508,0.07082010038881759,full
-6.931471805599453,-0.040019368335494576,full
-0.6931471805599453,0.021642716928046424,coarse
-1.3862943611198906,0.0314313925043852,coarse
-2.0794415416798357,-0.043937740259582636,coarse
-2.772588722239781,-0.09298956470617714,coarse
-3.4657359027997265,0.0838531955333277,coarse
-4.1588830833596715,-0.05879717869520196,fine
-4.852030263919617,0.050775049338238176,fine
-5.545177444479562,0.013715878042166452,fine
-6.238324625039508,0.0554318106817453,fine
-6.931471805599453,-0.06112555936695507,fine
