epsilon,log_epsilon,N_base,N_dense,delta_percent
0.5,0.6931471805599453,5.0,5.0,0.0
0.25,1.3862943611198906,12.0,13.0,7.6923076923076925
0.125,2.0794415416798357,35.0,36.0,2.7777777777777777
0.0625,2.772588722239781,103.0,106.0,2.8301886792452833
0.03125,3.4657359027997265,304.0,320.0,5.0
0.015625,4.1588830833596715,979.0,1050.0,6.761904761904762
0.0078125,4.852030263919617,3483.0,3600.0,3.25
0.00390625,5.545177444479562,12958.0,13196.0,1.8035768414671114
0.001953125,6.238324625039508,49855.0,50358.0,0.9988482465546686
0.0009765625,6.931471805599453,195477.0,196480.0,0.5104845276872964
