Grid Anchor,D_est
"(0.0, 0.0)",1.6390
"(0.001, 0.001)",1.6309
"(0.01, 0.01)",1.6295
"(0.1, 0.1)",1.6590
"Difference from (0,0) for (0.001, 0.001)",0.0081
"Difference from (0,0) for (0.01, 0.01)",0.0095
"Difference from (0,0) for (0.1, 0.1)",0.0200
