Grid Anchor,D_est
"(0.0, 0.0)",0.8620
"(0.001, 0.001)",0.7980
"(0.01, 0.01)",0.7995
"(0.1, 0.1)",0.8212
"Difference from (0,0) for (0.001, 0.001)",0.0640
"Difference from (0,0) for (0.01, 0.01)",0.0625
"Difference from (0,0) for (0.1, 0.1)",0.0408
