epsilon,log_epsilon,counts,log_counts
0.5,-0.6931471805599453,5,1.6094379124341003
0.25,-1.3862943611198906,13,2.5649493574615367
0.125,-2.0794415416798357,36,3.58351893845611
0.0625,-2.772588722239781,107,4.672828834461906
0.03125,-3.4657359027997265,331,5.802118375377063
0.015625,-4.1588830833596715,1165,7.060476365999801
0.0078125,-4.852030263919617,4345,8.376781037699493
0.00390625,-5.545177444479562,16700,9.723163998404846
0.001953125,-6.238324625039508,65182,11.084938636179775
0.0009765625,-6.931471805599453,258230,12.461605939646034
